UID,i,j,fij
3946,ITE1,FR71,7
3947,ITE2,FR71,2
3948,ITE3,FR71,1
3949,ITE4,FR71,1
3950,ITF3,FR71,2
3951,ITF4,FR71,3
3952,ITG1,FR71,4
3953,LT00,FR71,3
3954,NL11,FR71,1
3955,NL33,FR71,1
3956,NO02,FR71,1
3957,PL11,FR71,1
3958,PL12,FR71,2
3959,PL22,FR71,2
3960,PL51,FR71,2
3961,PL52,FR71,1
3962,PL62,FR71,1
3963,PT11,FR71,1
3964,PT16,FR71,1
3965,PT17,FR71,2
3966,RO21,FR71,5
3967,RO41,FR71,1
3968,SE11,FR71,2
3969,SE23,FR71,1
3970,SI01,FR71,1
3971,SK03,FR71,3
3972,UKE1,FR71,1
3973,UKE4,FR71,1
3974,UKF2,FR71,1
3975,UKF3,FR71,1
3976,UKG1,FR71,1
3977,UKG2,FR71,1
3978,UKG3,FR71,3
3979,UKH1,FR71,2
3980,UKH2,FR71,2
3981,UKH3,FR71,1
3982,UKJ1,FR71,3
3983,UKJ2,FR71,1
3984,UKK1,FR71,4
3985,UKL1,FR71,2
3986,UKM3,FR71,1
3987,DE11,FR72,1
3988,DE21,FR72,3
3989,DE23,FR72,1
3990,DE27,FR72,2
3991,DE71,FR72,1
3992,DE94,FR72,2
3993,DEA4,FR72,2
3994,DEA5,FR72,1
3995,ES12,FR72,1
3996,ES23,FR72,1
3999,ITD5,FR72,1
4000,ITE1,FR72,2
4001,ITE4,FR72,1
4002,PL22,FR72,1
4003,PL41,FR72,1
4004,PT11,FR72,2
4005,RO12,FR72,1
4006,UKE4,FR72,1
4007,UKM2,FR72,1
4008,UKM5,FR72,1
4009,BE23,FR81,1
4010,BE33,FR81,1
4011,CZ01,FR81,1
4012,DE11,FR81,2
4013,DE12,FR81,1
4014,DE14,FR81,3
4015,DE21,FR81,2
4016,DE24,FR81,1
4017,DE26,FR81,1
4018,DE41,FR81,1
4019,DE71,FR81,1
4020,DE72,FR81,1
4021,DE91,FR81,1
4022,DE92,FR81,1
4023,DEA2,FR81,1
4024,ES41,FR81,2
4025,ES51,FR81,8
4026,ES52,FR81,1
4027,ES61,FR81,4
4031,IE02,FR81,1
4032,ITC2,FR81,1
4033,ITC3,FR81,2
4034,ITD3,FR81,2
4035,ITE1,FR81,5
4036,ITE4,FR81,1
4037,ITF3,FR81,1
4038,PT11,FR81,3
4039,PT15,FR81,1
4040,UKD4,FR81,3
4041,UKJ1,FR81,1
4042,UKM3,FR81,1
4043,AT12,FR82,1
4044,BE10,FR82,2
4045,BE21,FR82,1
4046,BE23,FR82,1
4047,BE24,FR82,1
4048,BE25,FR82,1
4049,BE32,FR82,1
4050,BE35,FR82,2
4051,BG34,FR82,1
4052,CH01,FR82,5
4053,CH02,FR82,2
4054,CY00,FR82,1
4055,CZ02,FR82,1
4056,DE11,FR82,4
4057,DE12,FR82,6
4058,DE13,FR82,10
4059,DE14,FR82,1
4060,DE21,FR82,6
4061,DE22,FR82,1
4062,DE25,FR82,1
4063,DE27,FR82,2
4064,DE60,FR82,1
4065,DE71,FR82,3
4066,DE72,FR82,1
4067,DE91,FR82,2
4068,DEA2,FR82,3
4069,DEA3,FR82,1
4070,DEB1,FR82,1
4071,DK01,FR82,2
4072,DK05,FR82,1
4073,ES24,FR82,1
4074,ES41,FR82,1
4075,ES51,FR82,3
4076,ES52,FR82,3
4077,ES61,FR82,2
4078,ES62,FR82,1
4085,GR12,FR82,2
4086,GR21,FR82,1
4087,GR25,FR82,2
4088,GR30,FR82,1
4089,HU23,FR82,1
4090,HU31,FR82,1
4091,HU33,FR82,2
4092,ITC1,FR82,6
4093,ITC3,FR82,8
4094,ITC4,FR82,3
4095,ITD1,FR82,1
4096,ITD3,FR82,5
4097,ITD5,FR82,5
4098,ITE1,FR82,15
4099,ITE2,FR82,2
4100,ITE3,FR82,1
4101,ITE4,FR82,4
4102,ITF3,FR82,2
4103,ITF6,FR82,1
4104,PL12,FR82,1
4105,PL32,FR82,1
4106,PL33,FR82,1
4107,PL41,FR82,1
4108,PL52,FR82,1
4109,PL63,FR82,3
4110,PT11,FR82,1
4111,PT16,FR82,1
4112,SI02,FR82,1
4113,SK04,FR82,1
4114,UKH3,FR82,1
4115,UKJ3,FR82,1
4116,UKK1,FR82,1
4117,UKK2,FR82,1
4118,UKM2,FR82,1
4119,UKM3,FR82,1
4120,DE21,FR83,1
4122,ITE1,FR83,1
4123,ITG2,FR83,2
4124,NL33,FR83,1
4125,BG34,GR11,1
4126,BG41,GR11,2
4127,BG42,GR11,2
4128,CY00,GR11,1
4129,DE25,GR11,1
4130,DE91,GR11,1
4131,FR10,GR11,1
4132,AT21,GR12,1
4133,BG31,GR12,1
4134,BG34,GR12,1
4135,BG41,GR12,3
4136,BG42,GR12,3
4137,CY00,GR12,2
4138,DE71,GR12,1
4139,DEA2,GR12,1
4140,DED3,GR12,1
4141,FR51,GR12,1
4142,FR82,GR12,2
4143,ITD5,GR12,1
4144,PL51,GR12,1
4145,RO22,GR12,1
4146,SK01,GR12,1
4147,SK03,GR12,1
4148,BG33,GR13,1
4149,BG42,GR13,1
4150,ITG1,GR13,1
4151,RO21,GR13,1
4152,BG31,GR14,1
4153,BG34,GR14,1
4154,CY00,GR14,1
4155,DE23,GR14,1
4156,DE25,GR14,1
4157,FR51,GR14,1
4158,FR61,GR14,2
4159,ITG1,GR14,1
4160,PL22,GR14,1
4161,SK03,GR14,1
4162,CY00,GR21,1
4163,DE22,GR21,1
4164,FR82,GR21,1
4165,ITF4,GR21,1
4166,CY00,GR22,1
4167,DEA2,GR22,1
4168,ITD3,GR22,1
4169,ITE3,GR22,1
4170,ITF4,GR22,3
4171,RO31,GR22,1
4172,SI02,GR22,1
4173,CY00,GR23,1
4174,FR71,GR23,2
4175,HU32,GR23,1
4176,ITC3,GR23,1
4177,ITD3,GR23,1
4178,ITF4,GR23,1
4179,ITF6,GR23,1
4180,PL61,GR23,1
4181,BE35,GR24,1
4182,CZ04,GR24,1
4183,ITD3,GR24,1
4184,ITE2,GR24,1
4185,PL32,GR24,1
4186,CY00,GR25,1
4187,DE21,GR25,1
4188,FR22,GR25,2
4189,FR61,GR25,1
4190,FR63,GR25,1
4191,FR82,GR25,2
4192,ITF3,GR25,1
4193,ITG1,GR25,1
4194,BG32,GR30,1
4195,BG33,GR30,1
4196,BG41,GR30,1
4197,CY00,GR30,2
4198,CZ01,GR30,1
4199,CZ08,GR30,1
4200,ES12,GR30,1
4201,ES30,GR30,1
4202,ES51,GR30,1
4203,FR10,GR30,1
4204,FR52,GR30,1
4205,FR82,GR30,1
4206,ITD5,GR30,1
4207,ITE1,GR30,1
4208,ITF3,GR30,1
4209,ITF6,GR30,1
4210,LT00,GR30,1
4211,RO11,GR30,1
4212,RO21,GR30,1
4213,RO22,GR30,1
4214,RO32,GR30,1
4215,SI02,GR30,1
4216,ITC3,GR41,1
4217,ITE4,GR41,1
4218,ITG1,GR41,1
4219,ES61,GR42,1
4220,PL62,GR42,1
4221,BG41,GR43,1
4222,CY00,GR43,1
4223,FR61,GR43,1
4224,RO22,GR43,1
4225,AT13,HU10,1
4226,BG31,HU10,1
4227,BG32,HU10,1
4228,BG41,HU10,1
4229,DE11,HU10,1
4230,DE12,HU10,1
4231,DE21,HU10,1
4232,DE30,HU10,2
4233,DE71,HU10,1
4234,DEA4,HU10,2
4235,DED1,HU10,1
4236,ES30,HU10,1
4237,FI1A,HU10,1
4238,FR26,HU10,1
4239,FR30,HU10,1
4240,FR71,HU10,1
4242,IE02,HU10,1
4243,ITC1,HU10,1
4244,ITC3,HU10,1
4245,ITC4,HU10,3
4246,ITD5,HU10,2
4247,ITE1,HU10,1
4248,ITF1,HU10,2
4249,LT00,HU10,1
4250,NL21,HU10,1
4251,PL12,HU10,1
4252,PL21,HU10,1
4253,PL22,HU10,1
4254,PL33,HU10,1
4255,PL41,HU10,1
4256,PL61,HU10,1
4257,PT17,HU10,1
4258,RO11,HU10,3
4259,RO12,HU10,22
4260,SK01,HU10,1
4261,SK02,HU10,2
4262,SK03,HU10,1
4263,SK04,HU10,1
4264,AT21,HU21,1
4265,AT22,HU21,3
4266,AT31,HU21,1
4267,BE31,HU21,1
4268,BG32,HU21,1
4269,BG41,HU21,1
4270,BG42,HU21,1
4271,CZ05,HU21,1
4272,DE11,HU21,4
4273,DE12,HU21,1
4274,DE14,HU21,3
4275,DE21,HU21,1
4276,DE22,HU21,1
4277,DE24,HU21,1
4278,DE42,HU21,1
4279,DE71,HU21,1
4280,DE73,HU21,1
4281,DE92,HU21,1
4282,DEA3,HU21,1
4283,DEA5,HU21,2
4284,DED1,HU21,1
4285,DK01,HU21,1
4286,EE00,HU21,1
4287,FI18,HU21,2
4288,FI19,HU21,1
4289,FI1A,HU21,3
4290,FR10,HU21,2
4291,FR30,HU21,1
4293,ITC3,HU21,1
4294,ITC4,HU21,2
4295,ITD3,HU21,1
4296,ITD4,HU21,1
4297,ITD5,HU21,2
4298,ITE2,HU21,1
4299,ITE3,HU21,1
4300,ITE4,HU21,1
4301,NL21,HU21,1
4302,NL32,HU21,2
4303,PL12,HU21,1
4304,PL22,HU21,1
4305,PL41,HU21,1
4306,PL43,HU21,1
4307,PL52,HU21,1
4308,RO11,HU21,2
4309,RO12,HU21,11
4310,RO42,HU21,2
4311,SK01,HU21,1
4312,SK02,HU21,4
4313,SK03,HU21,2
4314,UKD4,HU21,1
4315,UKG3,HU21,1
4316,UKJ4,HU21,1
4317,UKK2,HU21,1
4318,AT11,HU22,3
4319,AT12,HU22,4
4320,AT21,HU22,1
4321,AT22,HU22,3
4322,BE34,HU22,1
4323,BG32,HU22,2
4324,BG33,HU22,1
4325,BG34,HU22,1
4326,CH05,HU22,1
4327,CZ03,HU22,1
4328,CZ05,HU22,2
4329,DE11,HU22,3
4330,DE13,HU22,1
4331,DE21,HU22,3
4332,DE23,HU22,1
4333,DE27,HU22,1
4334,DE71,HU22,2
4335,DEA3,HU22,1
4336,DEB1,HU22,1
4337,DEB3,HU22,1
4338,DEG0,HU22,1
4339,EE00,HU22,1
4340,FI13,HU22,2
4341,FI18,HU22,2
4342,FI19,HU22,1
4343,FR25,HU22,1
4344,FR42,HU22,1
4347,IE01,HU22,1
4348,ITC4,HU22,2
4349,ITD1,HU22,1
4350,LT00,HU22,1
4351,LU00,HU22,1
4352,LV00,HU22,1
4353,MT00,HU22,1
4354,NL42,HU22,1
4355,PL11,HU22,1
4356,PL32,HU22,3
4357,PL41,HU22,1
4358,PL42,HU22,1
4359,RO12,HU22,2
4360,RO42,HU22,1
4361,SE12,HU22,1
4362,SI01,HU22,2
4363,SI02,HU22,1
4364,SK01,HU22,1
4365,SK02,HU22,1
4366,SK03,HU22,2
4367,SK04,HU22,1
4368,UKK2,HU22,1
4369,AT21,HU23,1
4370,AT22,HU23,1
4371,DE11,HU23,6
4372,DE12,HU23,3
4373,DE21,HU23,1
4374,DE71,HU23,4
4375,DED1,HU23,1
4376,DED3,HU23,2
4377,DEF0,HU23,1
4378,FI18,HU23,2
4379,FI19,HU23,2
4380,FI1A,HU23,3
4381,FR10,HU23,1
4382,FR23,HU23,1
4383,FR30,HU23,1
4384,FR41,HU23,1
4385,FR51,HU23,1
4386,FR53,HU23,1
4387,FR82,HU23,1
4388,ITD3,HU23,1
4389,ITD5,HU23,1
4390,PL22,HU23,1
4391,PL43,HU23,1
4392,RO11,HU23,2
4393,RO12,HU23,7
4394,RO42,HU23,3
4395,SK02,HU23,3
4396,UKK1,HU23,1
4397,AT11,HU31,1
4398,BE34,HU31,1
4399,BG34,HU31,1
4400,BG42,HU31,1
4401,CZ02,HU31,1
4402,CZ08,HU31,1
4403,DE11,HU31,2
4404,DE26,HU31,1
4405,DE27,HU31,1
4406,DE71,HU31,1
4407,DE80,HU31,1
4408,DEB1,HU31,1
4409,DEB3,HU31,2
4410,DEE0,HU31,1
4411,DEG0,HU31,1
4412,DK02,HU31,1
4413,FI13,HU31,1
4414,FI18,HU31,2
4415,FI19,HU31,3
4416,FI1A,HU31,1
4417,FR26,HU31,1
4418,FR30,HU31,2
4419,FR42,HU31,1
4420,FR53,HU31,1
4421,FR82,HU31,1
4423,ITC1,HU31,1
4424,ITC3,HU31,1
4425,ITD4,HU31,1
4426,ITD5,HU31,1
4427,ITE1,HU31,2
4428,ITE4,HU31,1
4429,ITF3,HU31,1
4430,ITF6,HU31,1
4431,ITG2,HU31,1
4432,LU00,HU31,1
4433,PL12,HU31,1
4434,PL21,HU31,1
4435,PL22,HU31,5
4436,PL32,HU31,6
4437,PL34,HU31,1
4438,PL41,HU31,1
4439,PL51,HU31,1
4440,RO11,HU31,3
4441,RO12,HU31,5
4442,RO42,HU31,1
4443,SK03,HU31,5
4444,SK04,HU31,5
4445,UKE3,HU31,1
4446,AT12,HU32,1
4447,BG33,HU32,1
4448,CZ01,HU32,1
4449,CZ02,HU32,2
4450,CZ07,HU32,1
4451,DE13,HU32,1
4452,DE14,HU32,2
4453,DE24,HU32,1
4454,DE42,HU32,2
4455,DE94,HU32,1
4456,DEA4,HU32,1
4457,DEA5,HU32,1
4458,EE00,HU32,1
4459,FI13,HU32,2
4460,FI18,HU32,2
4461,FI19,HU32,1
4462,GR23,HU32,1
4463,ITC1,HU32,1
4464,ITD3,HU32,2
4465,ITD4,HU32,1
4466,ITD5,HU32,1
4467,ITG1,HU32,1
4468,LT00,HU32,2
4469,PL11,HU32,1
4470,PL12,HU32,1
4471,PL21,HU32,3
4472,PL22,HU32,2
4473,PL31,HU32,4
4474,PL32,HU32,4
4475,PL43,HU32,1
4476,PT17,HU32,1
4477,RO11,HU32,14
4478,RO12,HU32,4
4479,SK02,HU32,1
4480,SK04,HU32,4
4481,UKH2,HU32,1
4482,AT22,HU33,1
4483,AT31,HU33,1
4484,AT34,HU33,1
4485,BE33,HU33,1
4486,BG31,HU33,1
4487,BG33,HU33,1
4488,BG34,HU33,1
4489,CY00,HU33,1
4490,CZ07,HU33,1
4491,DE11,HU33,1
4492,DE12,HU33,1
4493,DE14,HU33,1
4494,DE24,HU33,2
4495,DE26,HU33,1
4496,DE60,HU33,1
4497,DE71,HU33,2
4498,DE72,HU33,1
4499,DEA2,HU33,1
4500,DEA3,HU33,1
4501,DEA4,HU33,1
4502,DED2,HU33,2
4503,DEE0,HU33,1
4504,DK04,HU33,1
4505,FI13,HU33,1
4506,FI18,HU33,5
4507,FI19,HU33,2
4508,FR26,HU33,1
4509,FR71,HU33,3
4510,FR82,HU33,2
4512,ITD3,HU33,1
4513,ITD5,HU33,1
4514,ITE3,HU33,1
4515,ITE4,HU33,1
4516,NL32,HU33,1
4517,NL33,HU33,1
4518,PL11,HU33,3
4519,PL21,HU33,3
4520,PL22,HU33,3
4521,PL32,HU33,1
4522,RO11,HU33,10
4523,RO12,HU33,14
4524,RO42,HU33,7
4525,SK01,HU33,1
4526,SK02,HU33,6
4527,SK03,HU33,3
4528,SK04,HU33,2
4529,UKG3,HU33,1
4530,UKH1,HU33,1
4531,UKK1,HU33,1
4532,AT22,IE01,1
4533,BE34,IE01,1
4534,CZ03,IE01,1
4535,DE22,IE01,1
4536,DE23,IE01,1
4537,DE25,IE01,1
4538,DK05,IE01,1
4539,EE00,IE01,1
4540,FI18,IE01,1
4541,FR10,IE01,1
4542,FR25,IE01,1
4543,FR51,IE01,1
4544,FR52,IE01,6
4545,HU22,IE01,1
4546,ITC4,IE01,1
4547,ITE3,IE01,1
4548,LT00,IE01,1
4549,LU00,IE01,1
4550,LV00,IE01,1
4551,MT00,IE01,1
4552,NL42,IE01,1
4553,PL11,IE01,1
4554,PL42,IE01,1
4555,PT17,IE01,1
4556,SE12,IE01,1
4557,SK03,IE01,1
4558,UKE4,IE01,1
4559,UKK2,IE01,1
4560,AT22,IE02,1
4561,BG34,IE02,1
4562,BG41,IE02,1
4563,DE26,IE02,1
4564,DE27,IE02,1
4565,DEA2,IE02,1
4566,DEA4,IE02,1
4567,ES41,IE02,1
4568,ES51,IE02,1
4569,FR10,IE02,1
4570,FR23,IE02,1
4571,FR24,IE02,1
4572,FR26,IE02,1
4573,FR51,IE02,1
4574,FR52,IE02,7
4575,FR53,IE02,1
4576,FR61,IE02,2
4577,FR81,IE02,1
4578,HU10,IE02,1
4579,ITC3,IE02,1
4580,ITD5,IE02,1
4581,ITE4,IE02,2
4582,ITG1,IE02,1
4583,PL32,IE02,1
4584,PL63,IE02,1
4585,UKD1,IE02,1
4586,UKD5,IE02,1
4587,UKE2,IE02,1
4588,UKG3,IE02,1
4589,UKJ1,IE02,1
4590,UKL1,IE02,3
4591,CZ03,IS00,1
4592,DE93,IS00,1
4593,DK01,IS00,2
4594,DK03,IS00,1
4595,DK04,IS00,2
4596,DK05,IS00,3
4597,EE00,IS00,1
4598,FI13,IS00,1
4599,FI18,IS00,8
4600,FI19,IS00,3
4601,FI1A,IS00,1
4602,FI20,IS00,1
4603,FR30,IS00,1
4604,FR52,IS00,1
4605,LT00,IS00,1
4606,NO01,IS00,2
4607,NO02,IS00,2
4608,NO03,IS00,3
4609,NO04,IS00,3
4610,NO05,IS00,2
4611,NO06,IS00,1
4612,SE11,IS00,1
4613,SE12,IS00,4
4614,SE22,IS00,1
4615,SE23,IS00,1
4616,SE33,IS00,1
4617,UKE1,IS00,1
4618,AT33,ITC1,1
4619,BE33,ITC1,2
4620,BG32,ITC1,1
4621,BG42,ITC1,1
4622,CH01,ITC1,3
4623,CZ05,ITC1,1
4624,DE11,ITC1,5
4625,DE12,ITC1,3
4626,DE14,ITC1,2
4627,DE21,ITC1,1
4628,DE27,ITC1,1
4629,DE71,ITC1,1
4630,DE72,ITC1,1
4631,DE80,ITC1,1
4632,DE93,ITC1,1
4633,DEA1,ITC1,1
4634,DEA2,ITC1,1
4635,DEB1,ITC1,1
4636,DEB3,ITC1,1
4637,DEG0,ITC1,2
4638,ES24,ITC1,2
4639,ES41,ITC1,1
4640,ES51,ITC1,4
4641,ES61,ITC1,1
4642,FR10,ITC1,3
4643,FR22,ITC1,2
4644,FR26,ITC1,1
4645,FR30,ITC1,2
4646,FR41,ITC1,3
4647,FR43,ITC1,2
4648,FR51,ITC1,1
4649,FR53,ITC1,1
4650,FR71,ITC1,26
4651,FR82,ITC1,6
4652,HU10,ITC1,1
4653,HU31,ITC1,1
4654,HU32,ITC1,1
4667,LT00,ITC1,1
4668,LU00,ITC1,1
4669,MT00,ITC1,3
4670,NL22,ITC1,1
4671,NL33,ITC1,1
4672,PL32,ITC1,1
4673,RO12,ITC1,1
4674,RO21,ITC1,2
4675,SI02,ITC1,1
4676,SK02,ITC1,3
4677,UKJ2,ITC1,1
4678,UKK4,ITC1,1
4679,UKM3,ITC1,1
4680,BE32,ITC2,1
4681,CH01,ITC2,2
4682,CH02,ITC2,1
4683,ES52,ITC2,1
4684,FR24,ITC2,1
4685,FR52,ITC2,1
4686,FR53,ITC2,2
4687,FR71,ITC2,6
4688,FR81,ITC2,1
4693,RO31,ITC2,1
4694,SE12,ITC2,1
4695,BG33,ITC3,1
4696,DE13,ITC3,5
4697,DE14,ITC3,2
4698,DE24,ITC3,1
4699,DE71,ITC3,1
4700,DE93,ITC3,1
4701,DK01,ITC3,2
4702,ES11,ITC3,1
4703,ES12,ITC3,1
4704,ES24,ITC3,2
4705,ES51,ITC3,2
4706,ES52,ITC3,2
4707,ES61,ITC3,2
4708,FR10,ITC3,1
4709,FR21,ITC3,1
4710,FR26,ITC3,1
4711,FR43,ITC3,1
4712,FR62,ITC3,1
4713,FR71,ITC3,3
4714,FR81,ITC3,2
4715,FR82,ITC3,8
4716,GR23,ITC3,1
4717,GR41,ITC3,1
4718,HU10,ITC3,1
4719,HU21,ITC3,1
4720,HU31,ITC3,1
4721,IE02,ITC3,1
4730,NO03,ITC3,1
4731,PL21,ITC3,1
4732,AT12,ITC4,1
4733,AT22,ITC4,1
4734,AT31,ITC4,1
4735,BE24,ITC4,1
4736,BE34,ITC4,1
4737,BG41,ITC4,1
4738,CH01,ITC4,1
4739,CH02,ITC4,1
4740,CY00,ITC4,1
4741,CZ03,ITC4,1
4742,CZ05,ITC4,1
4743,CZ07,ITC4,1
4744,DE11,ITC4,2
4745,DE12,ITC4,1
4746,DE13,ITC4,1
4747,DE14,ITC4,5
4748,DE21,ITC4,2
4749,DE23,ITC4,2
4750,DE26,ITC4,1
4751,DE27,ITC4,2
4752,DE71,ITC4,3
4753,DE92,ITC4,1
4754,DEB1,ITC4,1
4755,DED3,ITC4,1
4756,EE00,ITC4,1
4757,ES23,ITC4,1
4758,ES24,ITC4,2
4759,ES41,ITC4,1
4760,ES51,ITC4,2
4761,ES52,ITC4,1
4762,ES61,ITC4,1
4763,FI18,ITC4,1
4764,FR10,ITC4,9
4765,FR21,ITC4,1
4766,FR23,ITC4,1
4767,FR24,ITC4,3
4768,FR25,ITC4,2
4769,FR26,ITC4,2
4770,FR30,ITC4,1
4771,FR42,ITC4,1
4772,FR43,ITC4,1
4773,FR51,ITC4,1
4774,FR53,ITC4,1
4775,FR61,ITC4,2
4776,FR62,ITC4,2
4777,FR71,ITC4,16
4778,FR82,ITC4,3
4779,HU10,ITC4,3
4780,HU21,ITC4,2
4781,HU22,ITC4,2
4782,IE01,ITC4,1
4796,LT00,ITC4,3
4797,LU00,ITC4,1
4798,LV00,ITC4,1
4799,MT00,ITC4,2
4800,NL42,ITC4,1
4801,PL12,ITC4,1
4802,PL21,ITC4,1
4803,PL22,ITC4,1
4804,PL31,ITC4,2
4805,PL34,ITC4,1
4806,PL42,ITC4,1
4807,PT17,ITC4,1
4808,RO11,ITC4,1
4809,RO12,ITC4,2
4810,RO31,ITC4,2
4811,SE12,ITC4,1
4812,SI02,ITC4,2
4813,SK03,ITC4,1
4814,SK04,ITC4,1
4815,UKE2,ITC4,1
4816,UKG3,ITC4,1
4817,UKJ3,ITC4,1
4818,UKK2,ITC4,2
4819,AT32,ITD1,1
4820,AT33,ITD1,4
4821,BE25,ITD1,1
4822,CH03,ITD1,1
4823,CZ06,ITD1,1
4824,DE21,ITD1,1
4825,DE23,ITD1,1
4826,DE25,ITD1,1
4827,DE27,ITD1,1
4828,DE71,ITD1,4
4829,DEB3,ITD1,2
4830,FR82,ITD1,1
4831,HU22,ITD1,1
4832,PL41,ITD1,1
4833,SI02,ITD1,1
4834,AT12,ITD2,1
4835,AT33,ITD2,2
4836,CZ02,ITD2,2
4837,CZ03,ITD2,1
4838,CZ06,ITD2,1
4839,DE22,ITD2,2
4840,DE24,ITD2,1
4841,DE30,ITD2,1
4842,DE71,ITD2,1
4843,DE72,ITD2,1
4844,DEB2,ITD2,1
4845,ES21,ITD2,1
4850,AT21,ITD3,1
4851,AT22,ITD3,1
4852,AT31,ITD3,1
4853,AT32,ITD3,1
4854,AT33,ITD3,2
4855,BE10,ITD3,1
4856,BE23,ITD3,2
4857,BE31,ITD3,1
4858,CZ04,ITD3,1
4859,DE11,ITD3,2
4860,DE12,ITD3,4
4861,DE13,ITD3,2
4862,DE21,ITD3,6
4863,DE22,ITD3,5
4864,DE23,ITD3,1
4865,DE25,ITD3,2
4866,DE26,ITD3,2
4867,DE71,ITD3,3
4868,DE72,ITD3,1
4869,DEA4,ITD3,1
4870,DEB3,ITD3,3
4871,ES24,ITD3,2
4872,ES41,ITD3,1
4873,ES61,ITD3,3
4874,FI18,ITD3,1
4875,FR10,ITD3,8
4876,FR21,ITD3,1
4877,FR24,ITD3,1
4878,FR41,ITD3,3
4879,FR53,ITD3,1
4880,FR61,ITD3,2
4881,FR62,ITD3,4
4882,FR63,ITD3,1
4883,FR71,ITD3,10
4884,FR81,ITD3,2
4885,FR82,ITD3,5
4886,GR22,ITD3,1
4887,GR23,ITD3,1
4888,GR24,ITD3,1
4889,HU21,ITD3,1
4890,HU23,ITD3,1
4891,HU32,ITD3,2
4892,HU33,ITD3,1
4906,LT00,ITD3,1
4907,LU00,ITD3,3
4908,NO01,ITD3,1
4909,PL12,ITD3,1
4910,PL21,ITD3,2
4911,PL32,ITD3,1
4912,PL41,ITD3,1
4913,PL43,ITD3,3
4914,PT16,ITD3,2
4915,RO21,ITD3,1
4916,RO22,ITD3,1
4917,RO42,ITD3,1
4918,SE11,ITD3,2
4919,SK02,ITD3,2
4920,SK04,ITD3,1
4921,UKG3,ITD3,1
4922,UKH2,ITD3,1
4923,UKJ1,ITD3,1
4924,UKJ3,ITD3,1
4925,AT21,ITD4,10
4926,AT22,ITD4,2
4927,AT31,ITD4,2
4928,BE35,ITD4,2
4929,DE11,ITD4,1
4930,DE25,ITD4,1
4931,DEA3,ITD4,1
4932,ES42,ITD4,1
4933,FR10,ITD4,1
4934,FR42,ITD4,1
4935,FR61,ITD4,1
4936,FR71,ITD4,2
4937,HU21,ITD4,1
4938,HU31,ITD4,1
4939,HU32,ITD4,1
4949,LU00,ITD4,1
4950,NL33,ITD4,1
4951,PT17,ITD4,1
4952,SE12,ITD4,1
4953,SI01,ITD4,3
4954,UKJ3,ITD4,1
4955,UKL1,ITD4,1
4956,AT12,ITD5,1
4957,AT31,ITD5,2
4958,AT32,ITD5,1
4959,BE23,ITD5,1
4960,BE31,ITD5,2
4961,BE33,ITD5,1
4962,CZ02,ITD5,1
4963,CZ04,ITD5,1
4964,CZ06,ITD5,2
4965,CZ08,ITD5,1
4966,DE11,ITD5,5
4967,DE12,ITD5,2
4968,DE21,ITD5,1
4969,DE24,ITD5,1
4970,DE25,ITD5,1
4971,DE30,ITD5,1
4972,DE72,ITD5,1
4973,DEB3,ITD5,1
4974,DED3,ITD5,1
4975,DEF0,ITD5,1
4976,DEG0,ITD5,1
4977,ES42,ITD5,3
4978,ES43,ITD5,1
4979,ES52,ITD5,1
4980,ES61,ITD5,1
4981,FR10,ITD5,7
4982,FR21,ITD5,3
4983,FR24,ITD5,3
4984,FR26,ITD5,1
4985,FR41,ITD5,1
4986,FR61,ITD5,1
4987,FR62,ITD5,2
4988,FR63,ITD5,1
4989,FR71,ITD5,7
4990,FR72,ITD5,1
4991,FR82,ITD5,5
4992,GR12,ITD5,1
4993,GR30,ITD5,1
4994,HU10,ITD5,2
4995,HU21,ITD5,2
4996,HU23,ITD5,1
4997,HU31,ITD5,1
4998,HU32,ITD5,1
4999,HU33,ITD5,1
5000,IE02,ITD5,1
5012,NL11,ITD5,2
5013,NO03,ITD5,1
5014,PL32,ITD5,1
5015,PL51,ITD5,2
5016,PL63,ITD5,1
5017,RO11,ITD5,2
5018,RO42,ITD5,1
5019,SE12,ITD5,1
5020,SE32,ITD5,1
5021,SI02,ITD5,2
5022,SK02,ITD5,1
5023,SK03,ITD5,2
5024,UKG2,ITD5,2
5025,UKG3,ITD5,1
5026,UKH3,ITD5,1
5027,UKJ2,ITD5,1
5028,UKK3,ITD5,1
5029,AT21,ITE1,2
5030,AT22,ITE1,1
5031,AT31,ITE1,1
5032,BE10,ITE1,1
5033,BE23,ITE1,1
5034,BE32,ITE1,3
5035,BE33,ITE1,2
5036,BG42,ITE1,1
5037,CH02,ITE1,1
5038,CZ03,ITE1,1
5039,CZ04,ITE1,1
5040,CZ05,ITE1,1
5041,CZ06,ITE1,1
5042,DE14,ITE1,2
5043,DE21,ITE1,4
5044,DE24,ITE1,1
5045,DE25,ITE1,5
5046,DE26,ITE1,3
5047,DE41,ITE1,2
5048,DE42,ITE1,1
5049,DE71,ITE1,3
5050,DE72,ITE1,1
5051,DE73,ITE1,1
5052,DE93,ITE1,1
5053,DEA3,ITE1,2
5054,DEA5,ITE1,1
5055,DEC0,ITE1,2
5056,DED1,ITE1,1
5057,DED2,ITE1,1
5058,DEG0,ITE1,1
5059,DK02,ITE1,1
5060,ES11,ITE1,1
5061,ES24,ITE1,1
5062,ES30,ITE1,1
5063,ES41,ITE1,1
5064,ES42,ITE1,1
