UID,DEPCOM,LIBCOM,EPT,LIBEPT,DEP,INC,TH
44,92040,Issy-les-Moulineaux,T3,Grand Paris Sud Ouest,92,1558476995,38720
45,92044,Levallois-Perret,T4,La Defense,92,1627346213,36331
46,92046,Malakoff,T2,Sud Hauts-de-Seine,92,506933349,17519
47,92047,Marnes-la-Coquette,T3,Grand Paris Sud Ouest,92,73320806,798
48,92048,Meudon,T3,Grand Paris Sud Ouest,92,1074868554,25088
49,92049,Montrouge,T2,Sud Hauts-de-Seine,92,991946675,28981
50,92050,Nanterre,T4,La Defense,92,1234654194,50035
51,92051,Neuilly-sur-Seine,T4,La Defense,92,3022920574,33495
52,92060,Le Plessis-Robinson,T2,Sud Hauts-de-Seine,92,584148902,15713
53,92062,Puteaux,T4,La Defense,92,919429565,26228
54,92063,Rueil-Malmaison,T4,La Defense,92,1965434072,41699
55,92064,Saint-Cloud,T4,La Defense,92,985236733,15272
56,92071,Sceaux,T2,Sud Hauts-de-Seine,92,557357085,10040
57,92072,Sevres,T3,Grand Paris Sud Ouest,92,594936276,12259
58,92073,Suresnes,T4,La Defense,92,1081902009,25927
59,92075,Vanves,T3,Grand Paris Sud Ouest,92,570907133,15540
60,92076,Vaucresson,T4,La Defense,92,319473422,4318
61,92077,Ville-d'Avray,T3,Grand Paris Sud Ouest,92,358198247,5749
62,92078,Villeneuve-la-Garenne,T5,Boucle Nord 92,92,258031487,12762
63,93001,Aubervilliers,T6,Plaine Commune,93,639103745,42748
64,93005,Aulnay-sous-Bois,T7,Territoire des aeroports,93,928784314,41949
65,93006,Bagnolet,T8,Est Ensemble,93,412984022,20026
66,93007,Le Blanc-Mesnil,T7,Territoire des aeroports,93,539337987,27375
67,93008,Bobigny,T8,Est Ensemble,93,430743688,26746
68,93010,Bondy,T8,Est Ensemble,93,536887977,27467
69,93013,Le Bourget,T7,Territoire des aeroports,93,175938896,8670
70,93014,Clichy-sous-Bois,T9,Grand-Paris Est,93,211696270,13580
71,93015,Coubron,T9,Grand-Paris Est,93,82039119,2450
72,93027,La Courneuve,T6,Plaine Commune,93,315760724,21431
73,93029,Drancy,T7,Territoire des aeroports,93,752669315,37406
74,93030,Dugny,T7,Territoire des aeroports,93,97066799,5326
75,93031,Epinay-sur-Seine,T6,Plaine Commune,93,524725226,27385
76,93032,Gagny,T9,Grand-Paris Est,93,587717518,21464
77,93033,Gournay-sur-Marne,T9,Grand-Paris Est,93,139718446,3567
78,93039,L'Ile-Saint-Denis,T6,Plaine Commune,93,74894004,4043
