,GrowthRate,PopDensity,PopTotal,UNRegion,x,y
185,1.08,72.44,11253554.0,Africa,9.619906998041838,34.22177101274843
186,1.21,102.21,78665830.0,Asia,35.316901104490434,38.975204119949794
187,0.06,660.3,23381038.0,Asia,120.96998710953471,23.554948532698152
188,3.1,60.36,53470420.0,Africa,34.96073401663601,-6.467382227823774
189,3.25,195.35,39032383.0,Africa,32.29551474765988,1.5005083950375189
190,-0.45,77.37,44823765.0,Europe,31.371648310616646,48.99753615518724
191,0.36,19.61,3431555.0,America,-55.99544702147602,-32.812100934522775
192,0.73,35.18,321773631.0,America,-99.33825794563477,39.393778089839174
193,1.35,70.27,29893488.0,Asia,63.198131080927716,41.694719591416856
194,1.31,35.27,31108083.0,America,-66.16285683982073,7.137340793304373
195,1.06,301.38,93447601.0,Asia,106.29380755026499,16.59484196939055
196,2.17,21.71,264652.0,Oceania,167.0336111777253,-15.543722715452741
197,2.38,50.82,26832215.0,Asia,47.52247269983134,15.939469548127402
198,0.89,44.92,54490406.0,Africa,25.104810346944713,-28.981819968200398
199,3.07,21.81,16211767.0,Africa,27.770607275888754,-13.462918339685968
200,2.31,40.33,15602751.0,Africa,29.867731472567602,-18.993101593817865
201,2.21,79.68,1184765.0,Asia,126.04416528476773,-8.700479779910356
202,3.59,14.51,4490541.0,Asia,56.09719274262288,20.58829581754656
203,2.67,17.2,10787104.0,Africa,45.8628896224857,6.082049178091827
204,0.96,3.95,35939927.0,America,-101.81994127196508,57.841575224439474
205,0.8,6940.94,7287983.0,Asia,114.16391616477381,22.33259847221788
206,1.25,14.39,263118.0,Oceania,165.32348152800574,-21.240231056965058
207,1.61,19652.38,587606.0,Asia,113.64701389323332,22.07473016643333
208,0.45,146.57,1376048943.0,Asia,103.84297097960231,36.62792270870916
